area-name,duoarea,period,process,process-name,product,product-name,series,series-description,units,value
USA-MT,SMT,2018,R05,Reserves Sales,EPC0,Crude Oil,RCRR05SMT_1,Montana Crude Oil Reserves Divestitures (Million Barrels),MMBBL,0
NA,RLAN,2018,R05,Reserves Sales,EPC0,Crude Oil,RCRR05RLAN_1,Louisiana - North Crude Oil Reserves Divestitures (Million Barrels),MMBBL,1
NA,RCAJ,2018,R05,Reserves Sales,EPC0,Crude Oil,RCRR05RCAJ_1,California - San Joaquin Basin Onshore Crude Oil Reserves Divestitures (Million Barrels),MMBBL,16
NA,RTX08,2018,R05,Reserves Sales,EPC0,Crude Oil,RCRR05RTX08_1,Texas - RRC District 8 Crude Oil Reserves Divestitures (Million Barrels),MMBBL,417
U.S.,NUS,2018,R05,Reserves Sales,EPC0,Crude Oil,RCRR05NUS_1,U.S. Crude Oil Reserves Divestitures (Million Barrels),MMBBL,1237
USA-PA,SPA,2018,R05,Reserves Sales,EPC0,Crude Oil,RCRR05SPA_1,Pennsylvania Crude Oil Reserves Divestitures (Million Barrels),MMBBL,0
NA,RTX03,2018,R05,Reserves Sales,EPC0,Crude Oil,RCRR05RTX03_1,Texas - RRC District 3 Onshore Crude Oil Reserves Divestitures (Million Barrels),MMBBL,9
NA,RLASF,2018,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04RLASF_1,Louisiana State Offshore Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,0
USA-NE,SNE,2018,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04SNE_1,Nebraska Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,0
USA-ND,SND,2018,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04SND_1,North Dakota Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,385
NA,RTX08,2018,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04RTX08_1,Texas - RRC District 8 Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,628
NA,RTX07C,2018,R04,Reserves Revision Decreases,EPC0,Crude Oil,RCRR04RTX07C_1,Texas - RRC District 7C Crude Oil Reserves Revision Decreases (Million Barrels),MMBBL,233
